file,method,direct_guard_candidates
"app/api/google/disconnect/route.ts","DELETE","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/events/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/gmail-toggle/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/status/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/google/sync/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/grossist/[supplier]/product/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/grossist/[supplier]/search/route.ts","GET","getAuthenticatedBusiness"
"app/api/grossist/connect/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/grossist/connect/route.ts","POST","getAuthenticatedBusiness"
"app/api/grossist/route.ts","GET","getAuthenticatedBusiness"
"app/api/grossist/sync-prices/route.ts","POST","getAuthenticatedBusiness"
"app/api/health/route.ts","GET",""
"app/api/insights/route.ts","GET","getAuthenticatedBusiness"
"app/api/insights/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/email-lead/mx-check/route.ts","GET","getAuthenticatedBusiness"
"app/api/integrations/email-lead/route.ts","GET","getAuthenticatedBusiness"
"app/api/integrations/email-lead/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/integrations/fortnox/callback/route.ts","GET",""
"app/api/integrations/fortnox/connect/route.ts","GET","getAuthenticatedBusiness"
"app/api/integrations/fortnox/disconnect/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/integrations/fortnox/import/customers/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/import/invoices/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/import/supplier-invoices/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/status/route.ts","GET","getAuthenticatedBusiness"
"app/api/integrations/fortnox/sync-now/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/sync/customers/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/sync/invoice/route.ts","POST","getAuthenticatedBusiness"
"app/api/integrations/fortnox/sync/invoices/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/items/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/inventory/items/[id]/route.ts","PUT","getAuthenticatedBusiness"
"app/api/inventory/items/route.ts","GET","getAuthenticatedBusiness"
"app/api/inventory/items/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/locations/route.ts","GET","getAuthenticatedBusiness"
"app/api/inventory/locations/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/movements/route.ts","GET","getAuthenticatedBusiness"
"app/api/inventory/movements/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/movements/withdraw/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/inventory/route.ts","GET","getAuthenticatedBusiness"
"app/api/inventory/route.ts","POST","getAuthenticatedBusiness"
"app/api/inventory/route.ts","PUT","getAuthenticatedBusiness"
"app/api/inventory/transaction/route.ts","GET","getAuthenticatedBusiness"
"app/api/inventory/transaction/route.ts","POST","getAuthenticatedBusiness"
"app/api/invite/[token]/accept/route.ts","POST",""
"app/api/invite/[token]/route.ts","GET",""
"app/api/invoices/[id]/evidence-manifest/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/invoices/[id]/mark-paid/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/[id]/reminder-pdf/route.ts","GET","getAuthenticatedBusiness"
"app/api/invoices/[id]/reminder/route.ts","POST","getAuthenticatedBusiness"
"app/api/invoices/[id]/send-via-fortnox/route.ts","POST","getAuthenticatedBusiness"
"app/api/invoices/[id]/status/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/invoices/auto-generate/route.ts","POST","getAuthenticatedBusiness"
"app/api/invoices/credit/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/from-project/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/from-project/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/from-quote/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/from-time-entries/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/pdf/route.ts","GET","getAuthenticatedBusiness"
"app/api/invoices/route.ts","DELETE","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/route.ts","PUT","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/invoices/send/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/jarvis/reactivation-signal/route.ts","GET","getAuthenticatedBusiness"
"app/api/job-preparation/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/job-types/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/job-types/[id]/route.ts","PUT","getAuthenticatedBusiness"
"app/api/job-types/matching-assignees/route.ts","GET","getAuthenticatedBusiness"
